Country,Country Code,Series,Series Code,2018 [2018]
Advanced Economies,AME,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,10276174.9763961
Advanced Economies,AME,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,10780830.0424194
Advanced Economies,AME,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Advanced Economies,AME,"Total Reserves,,,,",TOTRESV,4916510.86336849
Advanced Economies,AME,"Unemployment rate,Percent,,,",UNEMPSA_,5.33137551516
Afghanistan,AFG,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Afghanistan,AFG,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Afghanistan,AFG,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Afghanistan,AFG,"Total Reserves,,,,",TOTRESV,..
Afghanistan,AFG,"Unemployment rate,Percent,,,",UNEMPSA_,..
Albania,ALB,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Albania,ALB,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Albania,ALB,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,1511704
Albania,ALB,"Total Reserves,,,,",TOTRESV,3893.93
Albania,ALB,"Unemployment rate,Percent,,,",UNEMPSA_,..
Algeria,DZA,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Algeria,DZA,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,45070.7868938675
Algeria,DZA,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Algeria,DZA,"Total Reserves,,,,",TOTRESV,..
Algeria,DZA,"Unemployment rate,Percent,,,",UNEMPSA_,..
Angola,AGO,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Angola,AGO,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Angola,AGO,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Angola,AGO,"Total Reserves,,,,",TOTRESV,15410.40536547
Angola,AGO,"Unemployment rate,Percent,,,",UNEMPSA_,..
Antigua and Barbuda,ATG,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Antigua and Barbuda,ATG,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Antigua and Barbuda,ATG,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Antigua and Barbuda,ATG,"Total Reserves,,,,",TOTRESV,328.65684450255
Antigua and Barbuda,ATG,"Unemployment rate,Percent,,,",UNEMPSA_,..
Argentina,ARG,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,61044.4554259052
Argentina,ARG,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Argentina,ARG,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,707755.489
Argentina,ARG,"Total Reserves,,,,",TOTRESV,..
Argentina,ARG,"Unemployment rate,Percent,,,",UNEMPSA_,9.22703252002
Armenia,ARM,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Armenia,ARM,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Armenia,ARM,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Armenia,ARM,"Total Reserves,,,,",TOTRESV,2259.3
Armenia,ARM,"Unemployment rate,Percent,,,",UNEMPSA_,..
Aruba,ABW,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Aruba,ABW,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Aruba,ABW,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Aruba,ABW,"Total Reserves,,,,",TOTRESV,..
Aruba,ABW,"Unemployment rate,Percent,,,",UNEMPSA_,..
Australia,AUS,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,240258.439671903
Australia,AUS,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,242522.69536673
Australia,AUS,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,1871579
Australia,AUS,"Total Reserves,,,,",TOTRESV,51170.8222047723
Australia,AUS,"Unemployment rate,Percent,,,",UNEMPSA_,5.30122659896
Austria,AUT,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Austria,AUT,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,199040.870793703
Austria,AUT,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,369105
Austria,AUT,"Total Reserves,,,,",TOTRESV,12184.0546095623
Austria,AUT,"Unemployment rate,Percent,,,",UNEMPSA_,7.70484908156
Azerbaijan,AZE,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Azerbaijan,AZE,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Azerbaijan,AZE,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Azerbaijan,AZE,"Total Reserves,,,,",TOTRESV,..
Azerbaijan,AZE,"Unemployment rate,Percent,,,",UNEMPSA_,..
Bahamas The,BHS,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Bahamas The,BHS,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Bahamas The,BHS,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..
Bahamas The,BHS,"Total Reserves,,,,",TOTRESV,..
Bahamas The,BHS,"Unemployment rate,Percent,,,",UNEMPSA_,..
Bahrain,BHR,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..
Bahrain,BHR,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..
Bahrain,BHR,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,12672.8116758105
Bahrain,BHR,"Total Reserves,,,,",TOTRESV,..
Bahrain,BHR,"Unemployment rate,Percent,,,",UNEMPSA_,..
